id,h,w,a,class
1,61.3862987,156.5819631,27.82902894,1
2,73.10784274,152.2668556,27.75419412,1
3,74.855714,142.0235767,28.53491206,1
4,57.27910161,139.9321704,16.08735256,1
5,65.54026263,155.8560188,32.21540374,1
6,75.70964122,140.9013599,31.82443146,1
7,57.26831901,152.4294117,25.56111655,1
8,66.01002537,145.025775,20.32538068,1
9,69.55649329,160.5707349,22.92823779,1
10,66.34706822,143.5545551,33.22827654,1
11,57.94781467,131.8286519,26.9377956,1
12,65.16519814,149.871851,18.7456253,1
13,68.32418094,141.2483302,18.45556667,1
14,57.95987779,156.916624,22.47223582,1
15,71.50526433,152.5120816,22.45477794,1
16,74.03286627,174.9995455,25.66650208,1
17,65.54010477,147.385015,33.67390639,1
18,61.81728115,138.8550595,31.63627129,1
19,65.54037053,139.2512871,28.7401255,1
20,73.32854865,152.9149332,23.20353521,1
21,68.74631989,136.0197952,20.65975504,1
22,62.65538553,163.8414556,29.04226152,1
23,70.09784141,144.2518702,24.166927,1
24,49.86980575,148.9296775,20.3540457,1
25,60.33692477,163.7985011,22.85152248,1
26,72.06625907,143.386402,31.29379265,1
27,65.78117528,149.8683861,25.34468846,1
28,68.68442326,129.6184297,19.61050635,1
29,69.85215564,169.9531424,23.46798344,1
30,66.09801314,143.5773874,27.22161798,1
31,64.42567415,129.8219102,25.2422596,1
32,67.92161557,151.283289,20.52858737,1
33,65.38438323,142.9290223,24.24755266,1
34,65.55065685,141.5515538,26.95961109,1
35,61.23172501,142.6052429,26.10736142,1
36,68.4053267,145.171522,27.21622288,1
37,58.63977058,169.1167615,34.69895451,1
38,66.67395367,151.4086145,20.07588386,1
39,64.38572031,134.9938292,17.80036983,1
40,69.36356754,169.511515,15.90228996,1
41,62.8107413,138.9679354,25.81658698,1
42,60.06093157,152.7196599,12.21467823,1
43,66.08631318,144.6788507,29.26050514,1
44,60.6510997,139.5800008,16.97924538,1
45,66.20728762,125.2872218,26.21740801,1
46,69.1203795,149.5172379,21.14842166,1
47,71.22061534,154.5476463,20.05047736,1
48,64.82051918,132.6208215,22.73741486,1
49,59.2060827,155.2894812,17.27307395,1
50,60.40923672,151.7296795,26.59879748,1
51,62.60757186,149.0455215,24.4345672,1
52,70.92730707,129.5430097,15.37971909,1
53,65.6039773,161.8468906,25.91161412,1
54,71.15851604,144.4687069,26.13805383,1
55,68.74489266,148.5102493,20.39934697,1
56,66.12163397,162.5478733,18.55453834,1
57,69.91712778,151.0843322,27.12589891,1
58,67.43923223,155.6333413,35.67364662,1
59,62.49196923,162.091085,19.79556249,1
60,70.92300332,117.1682688,27.10176683,1
61,67.03751256,138.2543443,32.49533299,1
62,67.42456033,147.8078947,25.7816396,1
63,64.04512736,154.2000759,24.084672,1
64,61.19913538,149.7340781,20.65749214,1
65,68.68979976,163.10681,29.97906848,1
66,59.61387199,149.7978042,36.20587291,1
67,72.13859707,141.6688998,26.41661963,1
68,61.09265451,157.9890173,32.73979105,1
69,65.79325457,191.6724014,27.93262426,1
70,62.57399304,137.9983215,21.27002374,1
71,60.83800117,151.5654091,36.00484321,1
72,62.98649131,155.1946303,24.47065152,1
73,77.00444204,134.5582041,20.74482581,1
74,54.56950667,138.5949708,19.05541735,1
75,59.64148719,139.8606582,27.87618492,1
76,62.33407254,159.4353183,30.78796124,1
77,72.91179034,144.907843,23.37715502,1
78,69.13714505,153.7531852,27.14248942,1
79,62.16741573,159.0445487,29.68665327,1
80,63.14956933,156.4547685,26.78778715,1
81,72.33807102,139.4552699,22.39850576,1
82,73.30370433,159.0246253,24.56232002,1
83,66.23374856,155.9077766,23.82900726,1
84,75.35271399,166.4970567,24.45011419,1
85,69.298079,138.6838761,20.68219733,1
86,68.35322981,134.2583959,23.91457102,1
87,73.43605741,153.8783651,27.03441344,1
88,62.68095217,163.0568621,30.5505781,1
89,61.42278562,156.1076207,26.75135557,1
90,61.38671052,147.4263716,28.40000987,1
91,64.19382708,154.3282945,26.54388304,1
92,76.51175903,167.9483724,23.4511125,1
93,71.62687395,145.7848371,29.48032023,1
94,68.71269434,144.6820357,17.96919258,1
95,64.123692,153.5356097,22.4328799,1
96,60.26618774,144.0508761,25.24885445,1
97,60.67319975,151.8047799,23.40911569,1
98,71.27826465,143.8919835,26.49793124,1
99,64.92584769,152.6023625,36.28284601,1
100,63.97957905,169.4324506,21.13478586,1
101,64.41316892,119.8818233,20.0525203,2
102,60.88564773,117.5302716,26.84127441,2
103,60.56892911,118.6232049,28.09835551,2
104,58.49796785,113.6298273,17.52301676,2
105,62.17127219,122.6973356,23.18654401,2
106,56.21973303,120.2425143,30.00757227,2
107,59.40138575,116.9257169,33.00036523,2
108,58.51125636,119.3576084,31.9482232,2
109,63.04055369,117.758066,27.40623752,2
110,66.32071171,113.9243685,28.24412677,2
111,61.96852483,131.0081308,21.98394277,2
112,67.88172177,116.1852888,18.93037178,2
113,62.95801219,126.4243748,25.05972546,2
114,63.47483134,129.2402267,24.10431207,2
115,60.52445272,122.506891,15.34330518,2
116,64.58572761,119.9846065,18.6673817,2
117,59.93370642,115.1278885,22.167187,2
118,61.97887446,119.5378693,18.64123035,2
119,60.19047844,120.528771,17.29584417,2
120,63.5459533,127.7489846,21.0110802,2
121,61.99436222,123.5932426,26.21377919,2
122,61.0565458,125.7106726,28.98754493,2
123,61.6350628,111.2904046,31.70784431,2
124,66.7776107,121.0092248,23.9139598,2
125,62.58781754,116.2840484,20.71762687,2
126,64.02261073,118.7603653,21.33925898,2
127,66.16363101,113.7324988,32.02670758,2
128,62.70389647,120.351385,15.05094572,2
129,68.71531673,119.2746896,28.81816087,2
130,67.79383622,121.7662817,27.48802172,2
131,62.34194684,123.4422554,33.86031053,2
132,62.84636729,118.6955104,28.83064841,2
133,58.80608042,118.6516744,26.0027519,2
134,68.66456814,116.2720389,15.20806384,2
135,61.83747669,119.756551,32.61397359,2
136,60.33118622,112.6251927,17.6783158,2
137,63.17831898,116.9650156,29.92853062,2
138,61.07983952,118.0660695,17.53983555,2
139,63.49463108,122.9560373,28.70264243,2
140,59.55047435,118.4793125,19.12940256,2
141,60.24305708,123.0062785,26.41303795,2
142,62.50962977,118.4070873,16.99492532,2
143,65.79284419,118.9674759,20.49449435,2
144,68.97864755,119.1281395,26.17173564,2
145,60.21389011,118.1565878,15.01559425,2
146,61.72836566,117.6294781,30.92435171,2
147,62.8159696,115.9791224,18.16555617,2
148,63.34388655,112.0731869,22.52031448,2
149,58.10443722,120.3926663,32.6195567,2
150,58.09445987,117.3810479,20.99445906,2
151,62.60780184,126.9959209,23.40673413,2
152,61.05532708,123.5885484,22.90557753,2
153,64.23267365,122.1877454,22.08967142,2
154,60.83132685,115.7193291,15.49784596,2
155,63.50610374,119.5079045,27.86174366,2
156,69.26650319,117.569216,20.86052034,2
157,64.1900742,115.7658365,20.8430404,2
158,56.83586093,116.248514,24.67114197,2
159,66.73307588,127.693104,26.8935039,2
160,65.3217201,115.8947087,19.7607779,2
161,60.49224046,119.5562426,24.9637396,2
162,59.09879366,111.6343398,21.80282793,2
